titre;nationalité;sortie;entrées (millions)
DIVERGENTE;ETATS-UNIS;09/04/2014;1496092
THE GRAND BUDAPEST HOTEL;ETATS-UNIS;26/02/2014;1472817
M. PEABODY ET SHERMAN : LES VOYAGES DANS LE TEMPS;ETATS-UNIS;12/02/2014;1418522
GODZILLA;ETATS-UNIS;14/05/2014;1369796
SOUS LES JUPES DES FILLES;FRANCE;04/06/2014;1359340
BELLE ET SÉBASTIEN;FRANCE;18/12/2013;1337501
LA FRENCH ;FRANCE;03/12/2014;1334968
NOE;ETATS-UNIS;09/04/2014;1322454
MONUMENTS MEN;ETATS-UNIS;12/03/2014;1288015
LA REINE DES NEIGES ;ETATS-UNIS;04/12/2013;1255172
NON-STOP;GB;26/02/2014;1222178
EDGE OF TOMORROW;ETATS-UNIS;04/06/2014;1222111
OPÉRATION CASSE-NOISETTE;ETATS-UNIS;06/08/2014;1201871
LE CROCODILE DU BOTSWANGA ;FRANCE;19/02/2014;1187344
MOMMY;CA;08/10/2014;1129093
TU VEUX OU TU VEUX PAS;FRANCE;01/10/2014;1077678
EXPENDABLES 3;ETATS-UNIS;20/08/2014;1059159
NOS ÉTOILES CONTRAIRES;ETATS-UNIS;20/08/2014;1044556
MAGIC IN THE MOONLIGHT;GB;22/10/2014;1036603
CLOCHETTE ET LA FÉE PIRATE;ETATS-UNIS;02/04/2014;1031829
PLANES 2;ETATS-UNIS;23/07/2014;1017036
MOI, MOCHE ET MECHANT 2;ETATS UNIS;26/06/2013;4649542
IRON MAN 3;ETATS UNIS;24/04/2013;4311506
DJANGO UNCHAINED;ETATS UNIS;16/01/2013;4306850
GRAVITY;GRANDE BRETAGNE;23/10/2013;4076501
PROFS (LES);FRANCE;17/04/2013;3950314
HOBBIT : LA DESOLATION DE SMAUG (LE);ETATS UNIS;11/12/2013;3800907
REINE DES NEIGES (LA);ETATS UNIS;04/12/2013;3795741
INSAISISSABLES;ETATS UNIS;31/07/2013;3008058
FAST & FURIOUS 6;ETATS UNIS;22/05/2013;2990306
HUNGER GAMES : L'EMBRASEMENT;ETATS UNIS;27/11/2013;2919171
TURBO;ETATS UNIS;16/10/2013;2466530
WORLD WAR Z;ETATS UNIS;03/07/2013;2456544
CROODS (LES);ETATS UNIS;10/04/2013;2379692
MAN OF STEEL;CANADA;19/06/2013;2316386
THOR : LE MONDE DES TENEBRES;ETATS UNIS;30/10/2013;2292842
SCHTROUMPFS 2 (LES);ETATS UNIS;31/07/2013;2248421
GARÇONS ET GUILLAUME, A TABLE ! (LES);FRANCE;20/11/2013;2200574
MONSTRES ACADEMY;ETATS UNIS;10/07/2013;2082526
